timestamp,x,y,yaw,q_w,q_x,q_y,q_z
1735633201.216229782,1.99315,-18.7377,1.61666,0.690707,0,0,0.723135
1735633201.216235335,1.97169,-18.0972,1.59176,0.699658,0,0,0.714478
1735633201.216240907,1.96656,-17.491,1.56624,0.708716,0,0,0.705494
1735633201.216246613,1.97526,-16.9295,1.54644,0.715665,0,0,0.698443
1735633201.216252290,1.98969,-16.4087,1.5427,0.716971,0,0,0.697103
1735633201.216257899,2.00035,-15.9213,1.55895,0.711282,0,0,0.702907
1735633201.216263483,1.99773,-15.4598,1.59834,0.6973,0,0,0.716779
1735633201.216269045,1.97232,-15.0167,1.66214,0.674087,0,0,0.738652
1735633201.216274680,1.91462,-14.5845,1.74837,0.641622,0,0,0.767021
1735633201.216280298,1.81511,-14.1559,1.851,0.601434,0,0,0.798923
1735633201.216286136,1.66428,-13.7232,1.96071,0.556726,0,0,0.830696
1735633201.216291738,1.45264,-13.2791,2.06759,0.511561,0,0,0.859247
1735633201.216297290,1.17067,-12.8161,2.16413,0.469506,0,0,0.882929
1735633201.216303139,0.813888,-12.3292,2.2353,0.437798,0,0,0.899074
1735633201.216308892,0.397921,-11.8233,2.27832,0.418359,0,0,0.908282
1735633201.216314697,-0.0565799,-11.3057,2.3016,0.407757,0,0,0.91309
1735633201.216320567,-0.528964,-10.784,2.30906,0.404349,0,0,0.914605
1735633201.216326211,-0.998582,-10.2654,2.30169,0.407716,0,0,0.913109
1735633201.216331856,-1.44478,-9.75725,2.27791,0.418542,0,0,0.908197
1735633201.216337344,-1.84691,-9.26702,2.23287,0.438891,0,0,0.89854
1735633201.216342868,-2.18432,-8.80205,2.15609,0.473051,0,0,0.881035
1735633201.216348296,-2.43636,-8.36972,2.02607,0.529288,0,0,0.848442
1735633201.216353761,-2.58238,-7.97739,1.79957,0.621779,0,0,0.783193
1735633201.216359366,-2.60827,-7.63013,1.47526,0.740065,0,0,0.672535
1735633201.216364972,-2.52617,-7.32377,1.14724,0.839942,0,0,0.542676
1735633201.216370596,-2.35474,-7.05181,0.885858,0.9035,0,0,0.428587
1735633201.216376185,-2.11265,-6.80775,0.708223,0.937955,0,0,0.346757
1735633201.216381736,-1.81857,-6.58511,0.598652,0.955536,0,0,0.294876
1735633201.216387295,-1.49117,-6.3774,0.539807,0.963797,0,0,0.266639
1735633201.216392871,-1.14914,-6.17812,0.521671,0.966175,0,0,0.257888
1735633201.216398451,-0.811128,-5.98078,0.541912,0.963516,0,0,0.267652
1735633201.216404046,-0.495818,-5.77889,0.606007,0.954445,0,0,0.298388
1735633201.216409622,-0.221879,-5.56596,0.728979,0.934306,0,0,0.356472
1735633201.216415269,-0.00480074,-5.33809,0.895241,0.90148,0,0,0.432822
1735633201.216421087,0.152653,-5.10178,1.07719,0.858429,0,0,0.512932
1735633201.216426661,0.250902,-4.86612,1.28293,0.801221,0,0,0.598368
1735633201.216432243,0.290362,-4.6402,1.52402,0.723451,0,0,0.690376
1735633201.216437771,0.271453,-4.43311,1.81236,0.616757,0,0,0.787154
1735633201.216443395,0.194593,-4.25395,2.14842,0.476428,0,0,0.879214
1735633201.216449246,0.0602002,-4.11181,2.50465,0.313116,0,0,0.949715
1735633201.216454885,-0.131308,-4.01578,2.83366,0.153359,0,0,0.98817
1735633201.216460403,-0.379512,-3.97494,3.10471,0.0184416,0,0,0.99983
1735633201.216466068,-0.683995,-3.99841,-2.96702,0.0871754,0,0,-0.996193
1735633201.216471875,-1.04261,-4.09114,-2.82792,0.156195,0,0,-0.987726
1735633201.216477659,-1.44632,-4.24166,-2.75063,0.194239,0,0,-0.980954
1735633201.216483858,-1.88436,-4.43437,-2.70887,0.214678,0,0,-0.976685
1735633201.216490106,-2.34595,-4.65367,-2.69078,0.223504,0,0,-0.974703
1735633201.216496319,-2.82033,-4.88398,-2.69143,0.223183,0,0,-0.974776
1735633201.216502548,-3.29673,-5.10968,-2.71003,0.214109,0,0,-0.97681
1735633201.216508790,-3.76439,-5.31518,-2.74928,0.194901,0,0,-0.980823
1735633201.216514976,-4.21253,-5.48488,-2.81637,0.161894,0,0,-0.986808
1735633201.216524129,-4.63038,-5.6032,-2.92598,0.107599,0,0,-0.994194
1735633201.216530492,-5.00719,-5.65452,-3.1058,0.0178935,0,0,-0.99984
1735633201.216536876,-5.3338,-5.6273,2.92654,0.10732,0,0,0.994224
1735633201.216543269,-5.60757,-5.5262,2.64095,0.247714,0,0,0.968833
1735633201.216549808,-5.82747,-5.35992,2.34755,0.386672,0,0,0.922217
1735633201.216556128,-5.99246,-5.13715,2.07595,0.507966,0,0,0.861377
1735633201.216562396,-6.10153,-4.86661,1.84106,0.6054,0,0,0.795921
1735633201.216568666,-6.15365,-4.55699,1.64209,0.681457,0,0,0.731858
1735633201.216574897,-6.14779,-4.21699,1.47123,0.74142,0,0,0.671041
1735633201.216583346,-6.08292,-3.85533,1.31994,0.790012,0,0,0.613092
1735633201.216589836,-5.95802,-3.48069,1.18127,0.830587,0,0,0.556889
1735633201.216596029,-5.77206,-3.10179,1.05015,0.865287,0,0,0.501276
1735633201.216602248,-5.52556,-2.72647,0.934414,0.89283,0,0,0.450394
1735633201.216608488,-5.2252,-2.35922,0.83994,0.913101,0,0,0.407733
1735633201.216614781,-4.87923,-2.00364,0.760899,0.928498,0,0,0.371338
1735633201.216621125,-4.49588,-1.66338,0.692752,0.940609,0,0,0.339491
1735633201.216627464,-4.08339,-1.34204,0.631971,0.950491,0,0,0.310753
1735633201.216633778,-3.64998,-1.04326,0.575693,0.958858,0,0,0.283888
1735633201.216640054,-3.20391,-0.770664,0.521408,0.966209,0,0,0.257761
1735633201.216646283,-2.7534,-0.527867,0.466657,0.972902,0,0,0.231217
1735633201.216652587,-2.30669,-0.318497,0.40869,0.979194,0,0,0.202926
1735633201.216658776,-1.87201,-0.146179,0.344008,0.985244,0,0,0.171157
1735633201.216665046,-1.45647,-0.013154,0.274982,0.990563,0,0,0.137058
1735633201.216671604,-1.06263,0.0838604,0.207585,0.994618,0,0,0.103606
1735633201.216678056,-0.691922,0.149529,0.142753,0.997454,0,0,0.0713159
1735633201.216684409,-0.345778,0.188517,0.0814151,0.999172,0,0,0.0406963
1735633201.216690851,-0.0256292,0.205489,0.024514,0.999925,0,0,0.0122567
1735633201.216697388,0.267095,0.205111,-0.026917,0.999909,0,0,-0.0134581
1735633201.216703819,0.530963,0.192046,-0.0715856,0.99936,0,0,-0.0357852
1735633201.216710437,0.764545,0.17096,-0.10759,0.998553,0,0,-0.0537691
1735633201.216716816,0.966409,0.146518,-0.131641,0.997835,0,0,-0.065773
1735633201.216723168,1.13512,0.123385,-0.137098,0.997651,0,0,-0.0684952
1735633201.216729634,1.27007,0.105348,-0.127648,0.997964,0,0,-0.0637805
1735633201.216735995,1.3739,0.0926874,-0.113263,0.998397,0,0,-0.0566015
1735633201.216742364,1.45007,0.0848056,-0.0894102,0.999001,0,0,-0.0446902
1735633201.216748830,1.50203,0.0811053,-0.0440759,0.999757,0,0,-0.0220362
1735633201.216755225,1.53324,0.080989,0.0670494,0.999438,0,0,0.0335184
1735633201.216761661,1.54717,0.0838596,0.574723,0.958995,0,0,0.283423
1735633201.216768071,1.54726,0.0891195,2.30732,0.405143,0,0,0.914253
1735633201.216774413,1.53697,0.0961716,2.6455,0.245511,0,0,0.969394
1735633201.216780875,1.51978,0.104418,2.72437,0.207101,0,0,0.97832
1735633201.216787307,1.49912,0.113262,2.74293,0.198014,0,0,0.980199
